team_name,num_submissions,submission_uri,datetime,description_url,workshop_url,der_core,jer_core,der_full,jer_full
USTC-NELSLIP,44,1471,2020-12-31 11:44:10,system_descriptions/dihard3_system_description_team54.pdf,https://dihardchallenge.github.io/dihard3workshop/program#ustc-nelslip,19.37,39.22,16.78,34.42
dh_Hitachi-JHU,46,1457,2020-12-31 11:01:35,system_descriptions/dihard3_system_description_team115.pdf,https://dihardchallenge.github.io/dihard3workshop/program#hitachi-jhu,20.01,41.78,16.94,36.31
DKU-Duke-Lenovo,6,1418,2020-12-30 22:45:38,system_descriptions/dihard3_system_description_team50.pdf,https://dihardchallenge.github.io/dihard3workshop/program#dku-duke-lenovo,21.63,41.8,18.9,36.69
dh_team_f,13,995,2020-12-14 03:49:56,system_descriptions/dihard3_system_description_team106.pdf,https://dihardchallenge.github.io/dihard3workshop/program#fano,23.86,48.85,20.05,42.06
Clova,12,1459,2020-12-31 11:06:41,system_descriptions/dihard3_system_description_team73.pdf,https://dihardchallenge.github.io/dihard3workshop/program#clova,24.31,49.22,21.86,43.78
dh_BUT,4,1419,2020-12-30 23:24:41,system_descriptions/dihard3_system_description_team55.pdf,https://dihardchallenge.github.io/dihard3workshop/program#but,24.62,44.49,21.09,39.28
dh_LEAP,11,1404,2020-12-30 10:50:39,system_descriptions/dihard3_system_description_team80.pdf,https://dihardchallenge.github.io/dihard3workshop/program#leap,24.99,45.13,21.09,39.54
DIHARD,2,929,2020-12-03 20:22:09,system_descriptions/dihard3_system_description_team18.pdf,https://dihardchallenge.github.io/dihard3workshop/program#overview,27.34,51.91,25.36,46.95
dh_DiaboLIIc,2,1087,2020-12-18 15:09:18,system_descriptions/dihard3_system_description_team71.pdf,https://dihardchallenge.github.io/dihard3workshop/program#diaboliic,27.63,52.81,25.4,47.88
Elektronika,2,1237,2020-12-23 19:40:38,,,28.1,53.73,25.87,49.03
HK,3,981,2020-12-10 11:05:15,system_descriptions/dihard3_system_description_team67.pdf,,28.57,56.25,26.91,51.09
dh_Mila,1,1091,2020-12-18 17:25:43,,,43.08,53.19,45.55,52.24
dh_Great,1,1335,2020-12-28 02:40:51,system_descriptions/dihard3_system_description_team96.pdf,,45.08,61.05,39.58,55.08
